stop_name,routes,latitude,longitude,cluster
Παμπελοποννησιακό,['701'],38.221649,21.750176,45
Κολυμβητήριο Α. Πεπανός,['701'],38.22402,21.749322,85
Λάγγουρας,['701'],38.225606,21.749388,85
Χίου,['701'],38.228354,21.748984,85
Parking Άγ. Ανδρέας,['701'],38.230676,21.748271,85
Νοσοκομείο Άγ. Ανδρέας,['701'],38.233991,21.747133,52
Νοσοκομείο Άγ. Ανδρέας,"['202', '701', '804']",38.235277,21.746578,52
Άγ. Αθανάσιος,"['701', '804']",38.237456,21.745582,53
Ψηλά Αλώνια (κάθοδος Γούναρη),"['104', '701', '804']",38.242098,21.735977,21
ΟΤΕ (κάθοδος Γούναρη),"['104', '701', '804']",38.24325,21.733719,20
Ερμού & Κανακάρη,"['702', '703', '704', '706', '707']",38.2463422,21.7365256,75
Βρυσακίων,['701'],38.209722,21.757364,77
Μεταμόρφωση Σωτήρος Μπεγουλάκι,['701'],38.209058,21.753937,25
Θεοτοκόπουλου,['701'],38.21062,21.753108,25
Λύτρα,['701'],38.212107,21.753024,25
Στουρνάρα,['701'],38.213574,21.752944,25
Βαρβάκη,['701'],38.216241,21.751627,26
Ιακωβίδου,['701'],38.216969,21.750497,26
ΤΕΙ,['701'],38.219058,21.750466,45
Κόμβος Parking Περιβόλα,['701'],38.208538,21.762034,77
Lidl,['701'],38.210044,21.759787,77
Βέτα,['701'],38.213026,21.756904,25
Κανακάρη & Γεροκωστοπούλου,"['702', '703', '704', '706', '707', '801', '803']",38.245416,21.735835,75
Κανακάρη & Φιλοποίμενος,"['702', '703', '704', '706', '707', '801', '803']",38.243803,21.733764,20
Νοσοκομείο Άγιος Ανδρέας,"['702', '703', '704', '706', '707']",38.23396,21.746961,52
Parking Σταθακοπούλου,"['702', '703', '704', '706', '707']",38.230674,21.748266,85
Σάμου,"['702', '703', '704', '706', '707']",38.228878,21.7489,85
